,pixel_density_0,pixel_density_value_0,edge_density_0,edge_direction_0,mean_pixel_density_0,contrast_0,correlation_0,energy_0,dissimilarity_0,homogeneity_0,ASM_0,mean_gabor_value_0,LBP_0,canny_mean_0,HOG_0,pixel_density_1,pixel_density_value_1,edge_density_1,edge_direction_1,mean_pixel_density_1,contrast_1,correlation_1,energy_1,dissimilarity_1,homogeneity_1,ASM_1,mean_gabor_value_1,LBP_1,canny_mean_1,HOG_1,pixel_density_2,pixel_density_value_2,edge_density_2,edge_direction_2,mean_pixel_density_2,contrast_2,correlation_2,energy_2,dissimilarity_2,homogeneity_2,ASM_2,mean_gabor_value_2,LBP_2,canny_mean_2,HOG_2,pixel_density_3,pixel_density_value_3,edge_density_3,edge_direction_3,mean_pixel_density_3,contrast_3,correlation_3,energy_3,dissimilarity_3,homogeneity_3,ASM_3,mean_gabor_value_3,LBP_3,canny_mean_3,HOG_3,pixel_density_4,pixel_density_value_4,edge_density_4,edge_direction_4,mean_pixel_density_4,contrast_4,correlation_4,energy_4,dissimilarity_4,homogeneity_4,ASM_4,mean_gabor_value_4,LBP_4,canny_mean_4,HOG_4,pixel_density_5,pixel_density_value_5,edge_density_5,edge_direction_5,mean_pixel_density_5,contrast_5,correlation_5,energy_5,dissimilarity_5,homogeneity_5,ASM_5,mean_gabor_value_5,LBP_5,canny_mean_5,HOG_5,target
67,4,209,0.181296615,1,0.803960379,301.1557782,0.882708044,0.030367969,9.222560976,0.202478089,0.000922214,-243.6266421,0.102409639,0.1934375,0.129614516,5,335,0.178004535,1,0.76177471,275.2828457,0.912604703,0.038767482,8.01319564,0.242548974,0.001502918,321.0558086,0.112811791,0.19125,0.129746414,5,298,0.172555697,1,0.714248032,257.8596038,0.894790379,0.034575013,8.487797875,0.216049764,0.001195431,-343.0814993,0.101603519,0.1740625,0.131496553,5,331,0.185468994,1,0.68176529,318.6881998,0.894642347,0.039594741,9.046798737,0.240839374,0.001567744,392.2102742,0.112955868,0.191875,0.134199809,5,366,0.182436611,1,0.560322311,264.1977781,0.892193224,0.04078799,9.073384447,0.212775344,0.00166366,-321.3909324,0.112863327,0.16,0.136430394,6,246,0.192513369,1,0.600159978,214.8593074,0.913681553,0.03844487,8.245516388,0.225159215,0.001478008,318.8221537,0.116730328,0.1746875,0.136115743,0
68,0,322,0.19397463,1,0.711348091,199.7205882,0.919213173,0.051534529,7.936898396,0.239692929,0.002655808,-155.5759377,0.134249471,0.1878125,0.131528581,5,258,0.207716702,1,0.763362766,233.5514706,0.912128915,0.031890562,8.715909091,0.212297281,0.001017008,311.0948703,0.10359408,0.19875,0.132473064,0,344,0.185125085,1,0.646113829,205.1765189,0.923221332,0.055896432,7.905035577,0.253273973,0.003124411,-348.6068852,0.143745774,0.1759375,0.13243101,5,282,0.201550388,1,0.667394688,201.0220419,0.923761502,0.034240088,8.458958756,0.214512512,0.001172384,357.7818107,0.114407912,0.18625,0.135110538,0,287,0.234301914,1,0.622829032,184.1639885,0.908247743,0.045596348,8.209325681,0.202453787,0.002079027,-188.8085681,0.126151665,0.208125,0.140469956,6,144,0.233613445,1,0.646208601,185.5846917,0.89542606,0.024757269,8.543727853,0.178719078,0.000612922,88.73434995,0.096638655,0.2003125,0.138615462,1
69,0,1330,0.140773621,1,0.254867768,79.97833761,0.90230971,0.200815456,4.626283697,0.397121248,0.040326847,-134.8643346,0.290266328,0.1646875,0.127914195,0,745,0.181547619,1,0.294856627,148.9529169,0.853693943,0.101250431,6.551204819,0.297865974,0.01025165,151.4146509,0.195645363,0.17375,0.138924166,0,1350,0.146666667,1,0.248321569,69.96708861,0.916331253,0.211410377,4.548691983,0.393995924,0.044694347,-139.1240571,0.293666667,0.144375,0.128159446,0,607,0.191769547,1,0.2920397,117.6376667,0.862161413,0.084049506,6.473333333,0.271089585,0.007064319,119.3474768,0.182057613,0.1778125,0.140025373,0,1250,0.18283105,1,0.275556272,86.45649759,0.891104992,0.224210508,5.376527212,0.366191585,0.050270352,-144.7567762,0.291324201,0.025,0.128184957,0,360,0.216621005,1,0.330327156,140.8532025,0.847827112,0.066382832,7.248241392,0.227244016,0.00440668,71.03603628,0.153789954,0.158333333,0.141677584,1
70,5,397,0.197692652,1,0.621428948,234.3945879,0.876905712,0.036511303,8.586616848,0.215555753,0.001333075,-224.2420274,0.117831541,0.1978125,0.133965768,0,511,0.198364695,1,0.701925206,285.9270833,0.901990659,0.062973412,8.617753623,0.247025278,0.003965651,138.3929424,0.146057348,0.1821875,0.135119299,5,414,0.195721803,1,0.53218001,223.1737974,0.883702175,0.039129741,8.46820074,0.229036837,0.001531137,-251.3765695,0.125600549,0.186875,0.134794065,0,554,0.188400824,1,0.633994106,224.8392692,0.913735591,0.067867854,7.983811286,0.255861245,0.004606046,258.7086929,0.152939831,0.183125,0.135935112,6,221,0.210144928,1,0.505078147,198.2067155,0.850511598,0.032272797,8.092673993,0.211217974,0.001041533,-106.6807646,0.107971014,0.1728125,0.139593752,0,492,0.212560386,1,0.616516056,228.1368742,0.884636461,0.062650214,8.401831502,0.227606491,0.003925049,118.0274952,0.137439614,0.2159375,0.138558895,0
71,0,776,0.140074906,1,0.258535654,90.17525253,0.861289988,0.082542979,4.968939394,0.319912952,0.006813343,-98.33237045,0.180898876,0.1540625,0.135956494,0,1227,0.098501873,1,0.186064478,36.3594697,0.898668593,0.136304584,3.299621212,0.401913246,0.01857894,86.66712339,0.239575531,0.1290625,0.136387052,0,380,0.130506156,1,0.237532792,86.29125138,0.845605951,0.053614156,5.109634551,0.292926165,0.002874478,-50.32629247,0.148974008,0.131875,0.141201819,0,1103,0.117373461,1,0.175170194,48.54125138,0.860394438,0.133103243,3.76910299,0.381645471,0.017716473,114.3473887,0.235157319,0.126875,0.138814707,8,332,0.152824946,1,0.21680802,98.90087555,0.841675894,0.056359286,5.76235147,0.268684645,0.003176369,33.26366096,0.143562828,0,0.145084169,0,813,0.125304878,1,0.180539813,63.52485335,0.826262741,0.123825824,4.532571781,0.335298662,0.015332835,-59.02443554,0.214176829,0.118125,0.140523252,0
72,0,442,0.177718833,1,0.60534962,182.2816254,0.92748808,0.064387721,7.625095834,0.26487556,0.004145779,-295.7018623,0.151446255,0.1575,0.13417988,5,452,0.192182817,1,0.623792384,193.5311355,0.923433886,0.042776659,7.788556271,0.233201527,0.001829843,329.0880349,0.118006993,0.1734375,0.135782832,0,408,0.215125392,1,0.591343967,203.6469345,0.901584648,0.056298402,8.518234672,0.22426201,0.00316951,-126.313124,0.135579937,0.1859375,0.139937789,5,279,0.221525601,1,0.601684185,193.5717495,0.9015576,0.029375078,8.456527484,0.194982997,0.000862895,211.9615218,0.103187043,0.1984375,0.142527677,0,455,0.241450068,1,0.590071618,228.3017301,0.867510265,0.064370427,9.182560554,0.205057388,0.004143552,-77.69904421,0.139808482,0.2184375,0.138893835,7,146,0.233941853,1,0.625926898,183.704104,0.879416036,0.028880773,8.289603283,0.187264324,0.000834099,88.89731995,0.101284652,0.205625,0.14180835,0
73,5,331,0.16968599,1,0.729992896,222.5034196,0.903332287,0.034728311,8.179775281,0.229843606,0.001206056,-297.6231353,0.101932367,0.1759375,0.130324183,5,298,0.161849021,1,0.698870184,160.0551932,0.924034509,0.041159218,6.90736715,0.25327879,0.001694081,229.6798151,0.117773531,0.1596875,0.133575026,5,410,0.158099965,1,0.612862912,200.8440038,0.919553652,0.042380111,7.456999522,0.256499969,0.001796074,-236.5160709,0.114143921,0.1559375,0.133922503,5,355,0.155365911,1,0.577308174,191.0368664,0.924138881,0.051083461,7.231123715,0.26765775,0.00260952,279.5167943,0.131868132,0.14625,0.134475011,7,203,0.21028971,1,0.596969207,206.7415404,0.895348561,0.029574578,8.19229798,0.201355877,0.000874656,-18.7652398,0.099525475,0.18375,0.138194453,0,299,0.18972332,1,0.520807661,186.9435564,0.903229019,0.048000234,7.710789211,0.227597362,0.002304022,156.1809927,0.125,0.1725,0.139064394,1
74,3,268,0.175743303,1,0.606214826,123.3160405,0.921522451,0.038070538,6.139833035,0.265712923,0.001449366,-217.8160605,0.093759199,0,0.130088441,3,235,0.182412791,1,0.640288988,158.427436,0.90949642,0.041833581,6.697380041,0.286217053,0.001750048,128.742909,0.106395349,0.185,0.1273981,3,267,0.18489342,1,0.502816697,115.1140667,0.927773587,0.036822689,6.154279455,0.268434942,0.00135591,-271.5402204,0.09823911,0,0.135651375,4,266,0.17965533,1,0.536477406,131.4779116,0.930442868,0.045718085,6.448872413,0.276865178,0.002090143,278.8277056,0.117889279,0,0.13289978,3,140,0.189540306,1,0.460820237,108.6567089,0.894510626,0.031653557,6.024135021,0.248003222,0.001001948,-176.6117708,0.090939374,0,0.136527413,0,190,0.216505014,1,0.517641257,123.7753165,0.900253813,0.040848256,6.656062625,0.240107605,0.00166858,47.50213031,0.098799934,0,0.137651354,0
75,84,160,0.199474439,1,0.756819651,191.2281125,0.908512119,0.030159265,7.67032967,0.231528481,0.000909581,-210.7697014,0.090181558,0.184375,0.130974462,4,231,0.197204969,1,0.679410359,138.6452119,0.917548,0.03042955,6.809201787,0.238985397,0.000925958,145.3252849,0.082656474,0.1878125,0.133595368,4,196,0.186438561,1,0.711861668,183.3318182,0.918615961,0.03140299,7.511363636,0.25726547,0.000986148,-102.0079594,0.093406593,0.169375,0.13265052,4,349,0.174575425,1,0.595826233,137.0407828,0.931927655,0.037426061,6.73219697,0.260463592,0.00140071,220.5766472,0.091658342,0.1678125,0.13454383,70,144,0.209673203,1,0.669922338,161.4674157,0.917281447,0.031090678,7.358757436,0.230168693,0.00096663,3.239669934,0.087712418,0.1896875,0.136633841,4,263,0.190065359,1,0.551061899,113.4787839,0.925954564,0.033956421,6.293060145,0.250740051,0.001153039,137.9800835,0.096078431,0.1603125,0.138179372,1
76,5,366,0.201010101,1,0.567495544,197.1224464,0.900408464,0.035067643,8.298901941,0.211690105,0.00122974,-277.8412618,0.110858586,0.1928125,0.136366221,5,248,0.184217172,1,0.603190731,185.552094,0.903175459,0.029353097,8.015832482,0.214025299,0.000861604,217.9459812,0.10290404,0.1759375,0.139520434,6,148,0.242424242,1,0.557594856,158.9681171,0.867452783,0.026770309,8.048850575,0.18144126,0.000716649,-109.8467062,0.100919913,0.2046875,0.140019151,30,239,0.218699839,1,0.493329242,153.08171,0.83414171,0.029297089,7.833333333,0.190818129,0.000858319,63.28066034,0.103932584,0.17625,0.144606515,65,170,0.249273256,1,0.623647401,195.7704412,0.831087127,0.027377045,8.699852941,0.176192004,0.000749503,-136.2578869,0.097383721,0.205,0.139853669,29,255,0.204597701,1,0.514638269,166.2706395,0.834195346,0.031611952,7.974418605,0.194587075,0.000999316,177.9146868,0.101436782,0.1484375,0.141358178,1
